Battery_ID,Chemistry,Cycle,Voltage_V,Current_A,Temperature_C,SOC_percent,Charge_Rate_C,Discharge_Rate_C,Capacity_Ah,Internal_Resistance_Ohm,SOH_percent,RUL_Cycles,Risk,Recommended_Application
BX0001,NMC,431,3.704,2.608,31.51,33.61,2.0,1.5,3.7537,0.09315,94.21,2043,LOW,EV USE
BX0001,NMC,454,3.73,1.156,25.19,37.01,1.0,1.5,3.7936,0.08968,94.27,2071,LOW,EV USE
BX0001,NMC,476,3.868,1.114,29.49,86.73,2.0,0.5,3.7021,0.09918,92.81,2036,LOW,EV USE
BX0001,NMC,499,3.851,1.425,28.41,94.1,2.0,0.5,3.7027,0.09721,92.64,2068,LOW,EV USE
BX0001,NMC,522,3.784,1.555,25.63,55.28,1.5,1.0,3.7186,0.09312,93.11,1979,LOW,EV USE
BX0001,NMC,544,3.712,2.578,29.89,72.85,1.5,1.0,3.7063,0.09594,93.0,1936,LOW,EV USE
BX0001,NMC,567,3.793,2.875,30.94,56.63,2.0,2.0,3.7178,0.0956,92.87,1981,LOW,EV USE
BX0001,NMC,589,3.728,3.444,32.43,27.87,0.5,2.0,3.6958,0.09655,91.79,1929,LOW,EV USE
BX0001,NMC,612,3.762,1.818,29.58,95.12,1.0,1.5,3.6592,0.09985,91.35,1916,LOW,EV USE
BX0001,NMC,635,3.719,2.865,30.0,41.81,1.5,1.0,3.7144,0.09654,92.61,1820,LOW,EV USE
BX0001,NMC,657,3.785,1.176,26.32,27.98,2.0,2.5,3.6897,0.09584,91.98,1870,LOW,EV USE
BX0001,NMC,680,3.72,1.504,31.53,35.56,1.0,1.0,3.6867,0.09669,91.67,1899,LOW,EV USE
BX0001,NMC,702,3.721,2.309,25.84,48.08,1.5,1.0,3.5796,0.10639,89.8,1816,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,725,3.715,0.619,28.46,28.52,2.0,1.5,3.6691,0.10345,91.02,1790,LOW,EV USE
BX0001,NMC,748,3.805,2.944,29.7,82.33,2.0,1.0,3.6528,0.0999,91.01,1781,LOW,EV USE
BX0001,NMC,770,3.756,2.317,25.78,18.23,0.5,1.0,3.597,0.10421,90.18,1698,LOW,EV USE
BX0001,NMC,793,3.771,1.48,23.82,72.51,2.0,1.0,3.604,0.10726,89.71,1717,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,815,3.756,1.175,28.31,25.6,2.0,2.5,3.6063,0.10759,90.72,1706,MEDIUM,EV USE
BX0001,NMC,838,3.649,2.056,30.0,46.35,0.5,1.5,3.5883,0.10395,90.04,1672,LOW,EV USE
BX0001,NMC,861,3.749,0.658,31.08,55.92,2.0,1.5,3.5826,0.10725,89.6,1624,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,883,3.787,3.403,33.65,73.58,0.5,2.5,3.5635,0.11077,89.01,1647,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,906,3.712,0.854,23.94,89.03,2.0,2.5,3.5653,0.10957,88.78,1610,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,928,3.643,2.809,32.23,21.93,1.0,1.5,3.5602,0.10779,89.15,1640,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,951,3.723,0.768,26.22,19.67,0.5,1.5,3.5217,0.11241,88.34,1533,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,974,3.768,1.093,25.39,87.09,1.5,2.0,3.5328,0.10903,88.29,1574,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,996,3.825,2.557,30.14,67.24,1.0,1.5,3.5047,0.11437,87.85,1490,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1019,3.756,1.837,29.93,30.61,2.0,2.5,3.5106,0.11208,87.47,1431,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1041,3.706,0.904,25.82,71.83,2.0,1.0,3.5187,0.11834,87.4,1536,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1064,3.786,3.454,29.25,54.87,0.5,1.5,3.4587,0.12318,86.41,1425,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1087,3.733,0.575,24.76,37.69,1.5,2.5,3.4755,0.11208,86.8,1437,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1109,3.74,0.8,28.42,52.4,1.0,0.5,3.4568,0.11858,86.41,1422,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1132,3.755,2.013,27.82,70.74,2.0,0.5,3.4821,0.11694,86.59,1435,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1154,3.738,0.489,28.78,26.12,1.0,1.5,3.4916,0.11775,86.76,1407,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1177,3.74,3.203,33.19,51.31,2.0,2.0,3.4098,0.11933,85.35,1260,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1200,3.739,3.01,31.21,53.13,1.0,2.5,3.3913,0.12608,85.35,1296,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1222,3.791,2.213,24.31,53.19,2.0,2.0,3.3889,0.12567,85.13,1263,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1245,3.687,0.996,26.69,29.3,0.5,0.5,3.3967,0.13007,85.01,1249,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1267,3.713,1.892,26.04,22.66,1.5,2.5,3.3429,0.12782,83.42,1315,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1290,3.771,1.132,28.32,91.7,1.0,2.5,3.3573,0.12813,84.17,1279,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1313,3.664,3.088,31.42,17.53,2.0,0.5,3.3491,0.13001,83.96,1142,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1335,3.683,2.06,29.31,22.4,0.5,2.0,3.3328,0.13486,83.15,1136,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1358,3.803,2.129,27.48,76.16,1.0,0.5,3.3361,0.13589,83.8,1225,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1380,3.713,1.424,29.36,56.35,2.0,2.0,3.3253,0.12807,83.22,1089,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1403,3.695,2.627,29.35,83.13,0.5,2.0,3.3199,0.1371,82.95,1202,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1426,3.748,2.78,33.55,73.7,1.5,2.0,3.2828,0.13717,81.88,1056,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1448,3.759,2.102,24.23,60.53,2.0,0.5,3.2754,0.13285,82.39,1030,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1471,3.687,3.037,31.13,23.86,0.5,1.5,3.2537,0.1407,81.65,1095,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1493,3.692,2.865,30.48,26.6,0.5,2.5,3.2551,0.14124,81.42,1005,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1516,3.749,1.617,29.23,87.81,1.0,1.5,3.2652,0.1332,81.32,1043,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1539,3.697,1.614,24.98,44.5,2.0,1.5,3.2697,0.14461,81.08,976,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1561,3.743,0.917,25.81,72.58,1.0,1.5,3.1944,0.14882,79.43,989,HIGH,SECOND-LIFE STORAGE
BX0001,NMC,1584,3.8,0.504,25.41,76.75,1.5,1.0,3.2019,0.1412,79.93,943,HIGH,SECOND-LIFE STORAGE
BX0001,NMC,1606,3.778,0.865,25.46,81.18,1.0,1.5,3.2062,0.14182,80.31,875,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1629,3.727,0.963,28.36,43.69,2.0,1.0,3.218,0.13902,80.15,913,MEDIUM,SECOND-LIFE STORAGE
BX0001,NMC,1652,3.817,3.29,30.71,87.39,2.0,2.5,3.2032,0.14581,79.29,882,HIGH,SECOND-LIFE STORAGE
BX0001,NMC,1674,3.69,2.683,32.9,50.2,0.5,1.0,3.1474,0.1538,78.54,835,HIGH,SECOND-LIFE STORAGE
BX0001,NMC,1697,3.75,2.889,29.8,42.82,1.5,1.0,3.1951,0.14322,79.72,735,HIGH,SECOND-LIFE STORAGE
BX0001,NMC,1719,3.714,3.23,32.38,17.73,2.0,2.5,3.0694,0.15314,77.57,741,HIGH,SECOND-LIFE STORAGE
BX0001,NMC,1742,3.687,2.457,32.2,16.09,2.0,2.5,3.1221,0.15633,77.84,732,HIGH,SECOND-LIFE STORAGE
BX0001,NMC,1765,3.707,2.879,26.72,50.42,0.5,2.5,3.0836,0.15133,77.36,674,HIGH,SECOND-LIFE STORAGE
BX0001,NMC,1787,3.689,2.036,30.76,74.27,1.0,1.5,3.1073,0.14774,77.8,824,HIGH,SECOND-LIFE STORAGE
BX0001,NMC,1810,3.77,1.667,27.14,68.45,0.5,0.5,3.0689,0.15197,76.83,748,HIGH,SECOND-LIFE STORAGE
BX0001,NMC,1832,3.693,2.424,29.51,29.82,2.0,1.5,3.0455,0.15752,76.36,673,HIGH,SECOND-LIFE STORAGE
BX0001,NMC,1855,3.747,2.681,29.55,67.56,1.0,1.0,3.0362,0.15627,76.22,689,HIGH,SECOND-LIFE STORAGE
BX0001,NMC,1878,3.701,0.506,26.4,45.13,2.0,0.5,3.0537,0.16067,76.12,671,HIGH,SECOND-LIFE STORAGE
BX0001,NMC,1900,3.82,1.718,29.0,81.39,1.5,0.5,2.9899,0.1651,74.91,637,HIGH,RECYCLING / INSPECTION
BX0001,NMC,1923,3.711,1.244,29.22,29.25,1.0,1.0,3.0157,0.16072,75.45,556,HIGH,SECOND-LIFE STORAGE
BX0001,NMC,1945,3.751,0.824,29.07,15.91,0.5,2.5,3.0468,0.1576,75.95,623,HIGH,SECOND-LIFE STORAGE
BX0001,NMC,1968,3.708,2.688,30.37,28.8,1.0,2.5,2.9403,0.16493,73.89,519,HIGH,RECYCLING / INSPECTION
BX0001,NMC,1991,3.783,2.156,27.75,39.66,1.0,2.5,2.9384,0.17056,73.7,511,HIGH,RECYCLING / INSPECTION
BX0001,NMC,2013,3.729,3.024,31.09,84.85,0.5,0.5,2.9295,0.16571,73.28,581,HIGH,RECYCLING / INSPECTION
BX0001,NMC,2036,3.71,0.635,31.42,53.15,1.5,1.5,2.909,0.17078,73.26,454,HIGH,RECYCLING / INSPECTION
BX0001,NMC,2058,3.742,2.645,33.12,78.0,1.0,0.5,2.9635,0.16967,73.5,455,HIGH,RECYCLING / INSPECTION
BX0001,NMC,2081,3.625,2.224,28.93,18.67,1.5,2.5,2.9595,0.16765,73.68,422,HIGH,RECYCLING / INSPECTION
BX0001,NMC,2104,3.739,2.71,28.34,81.01,1.5,1.0,2.9019,0.17172,72.36,386,HIGH,RECYCLING / INSPECTION
BX0001,NMC,2126,3.633,3.143,26.51,54.93,1.5,2.0,2.9361,0.17203,73.01,433,HIGH,RECYCLING / INSPECTION
BX0001,NMC,2149,3.774,2.013,30.67,76.24,1.0,1.5,2.9104,0.17618,72.67,357,HIGH,RECYCLING / INSPECTION
BX0001,NMC,2171,3.704,2.345,33.17,54.83,1.5,2.0,2.8838,0.17311,71.78,393,HIGH,RECYCLING / INSPECTION
BX0001,NMC,2194,3.639,1.319,27.13,38.84,2.0,2.0,2.8497,0.17654,71.0,277,HIGH,RECYCLING / INSPECTION
BX0001,NMC,2217,3.734,0.918,29.87,65.91,0.5,1.5,2.8573,0.17532,71.5,313,HIGH,RECYCLING / INSPECTION
BX0001,NMC,2239,3.681,2.817,29.46,30.47,1.5,0.5,2.8016,0.17968,70.02,268,HIGH,RECYCLING / INSPECTION
BX0001,NMC,2262,3.8,1.923,29.98,57.77,0.5,0.5,2.8658,0.17117,71.5,228,HIGH,RECYCLING / INSPECTION
BX0002,NMC,25,3.777,1.555,27.3,48.9,1.0,1.0,3.9101,0.06127,97.43,2582,LOW,EV USE
BX0002,NMC,48,3.733,2.236,30.55,54.89,1.0,1.5,3.8761,0.06514,96.83,2629,LOW,EV USE
BX0002,NMC,72,3.719,0.888,26.44,35.36,0.5,0.5,3.8923,0.06709,97.12,2535,LOW,EV USE
BX0002,NMC,96,3.726,2.942,28.61,15.43,1.0,2.0,3.8617,0.0692,96.36,2539,LOW,EV USE
BX0002,NMC,120,3.69,1.412,25.55,21.98,1.0,2.0,3.8973,0.06173,97.33,2526,LOW,EV USE
BX0002,NMC,143,3.793,1.616,26.51,84.73,1.0,2.0,3.8435,0.06671,96.29,2473,LOW,EV USE
BX0002,NMC,167,3.82,0.58,28.12,54.31,2.0,2.5,3.8535,0.068,96.52,2447,LOW,EV USE
BX0002,NMC,191,3.795,1.183,29.23,82.96,1.5,2.5,3.8311,0.0671,95.83,2448,LOW,EV USE
BX0002,NMC,215,3.756,2.796,30.61,84.72,1.5,0.5,3.8526,0.06645,95.97,2413,LOW,EV USE
BX0002,NMC,238,3.771,1.394,30.41,40.89,1.5,0.5,3.8404,0.06703,95.94,2432,LOW,EV USE
BX0002,NMC,262,3.792,0.975,29.03,95.36,1.5,1.5,3.8167,0.07056,94.99,2394,LOW,EV USE
BX0002,NMC,286,3.763,3.255,29.97,17.7,0.5,0.5,3.8295,0.06668,95.56,2371,LOW,EV USE
BX0002,NMC,310,3.757,2.42,29.04,28.35,2.0,1.5,3.7874,0.06851,94.5,2270,LOW,EV USE
BX0002,NMC,333,3.774,2.437,28.1,74.92,1.5,0.5,3.8285,0.06904,95.83,2324,LOW,EV USE
BX0002,NMC,357,3.76,0.43,27.87,61.45,0.5,0.5,3.7754,0.07529,94.73,2212,LOW,EV USE
BX0002,NMC,381,3.759,2.159,26.43,26.02,1.0,1.0,3.7748,0.0721,94.4,2281,LOW,EV USE
BX0002,NMC,405,3.794,3.1,27.7,73.85,1.0,1.5,3.8083,0.07109,94.93,2257,LOW,EV USE
BX0002,NMC,428,3.827,1.891,30.24,80.06,2.0,2.0,3.7991,0.076,95.04,2196,LOW,EV USE
BX0002,NMC,452,3.714,2.122,30.56,56.35,2.0,0.5,3.7295,0.07711,93.4,2215,LOW,EV USE
BX0002,NMC,476,3.73,1.031,25.73,49.73,0.5,1.0,3.73,0.07257,93.25,2177,LOW,EV USE
BX0002,NMC,500,3.787,0.524,22.95,96.97,2.0,1.0,3.7463,0.07314,93.19,2177,LOW,EV USE
BX0002,NMC,523,3.772,3.228,28.16,64.17,2.0,2.5,3.7466,0.07228,93.13,2073,LOW,EV USE
BX0002,NMC,547,3.724,1.136,27.52,29.91,1.0,2.0,3.7112,0.07902,92.66,2134,LOW,EV USE
BX0002,NMC,571,3.69,2.422,30.38,22.91,1.5,2.5,3.7174,0.08,93.43,2012,LOW,EV USE
BX0002,NMC,595,3.723,1.127,30.36,34.67,2.0,1.0,3.6977,0.07432,92.47,2080,LOW,EV USE
BX0002,NMC,618,3.727,3.341,27.04,63.79,2.0,0.5,3.7172,0.07603,93.11,1977,LOW,EV USE
BX0002,NMC,642,3.764,1.784,28.23,73.55,1.5,2.5,3.6643,0.08579,91.25,2036,LOW,EV USE
BX0002,NMC,666,3.787,0.958,25.77,33.65,2.0,2.5,3.6582,0.08139,91.59,2001,LOW,EV USE
BX0002,NMC,690,3.745,2.017,28.91,36.1,1.5,2.5,3.6923,0.07883,92.37,1877,LOW,EV USE
BX0002,NMC,713,3.718,1.127,25.3,27.96,1.0,0.5,3.6425,0.08457,90.91,1926,LOW,EV USE
BX0002,NMC,737,3.786,3.248,30.23,81.03,1.0,2.5,3.6447,0.08159,91.07,1908,LOW,EV USE
BX0002,NMC,761,3.74,1.386,26.41,65.21,1.5,0.5,3.666,0.08,91.11,1886,LOW,EV USE
BX0002,NMC,785,3.758,1.383,27.11,87.86,1.0,0.5,3.6148,0.08624,90.61,1888,LOW,EV USE
BX0002,NMC,808,3.773,2.1,32.73,46.57,1.5,2.0,3.6112,0.08658,90.72,1911,LOW,EV USE
BX0002,NMC,832,3.782,1.951,25.84,78.03,1.0,2.0,3.5962,0.08702,89.98,1810,LOW,SECOND-LIFE STORAGE
BX0002,NMC,856,3.77,2.771,34.57,65.46,1.5,1.5,3.5429,0.09119,89.07,1814,LOW,SECOND-LIFE STORAGE
BX0002,NMC,880,3.685,1.906,29.36,23.42,1.5,2.5,3.5772,0.08743,89.31,1726,LOW,SECOND-LIFE STORAGE
BX0002,NMC,903,3.722,1.245,23.9,74.44,1.5,2.0,3.5867,0.09038,89.25,1729,LOW,SECOND-LIFE STORAGE
BX0002,NMC,927,3.746,1.195,28.02,62.09,1.5,0.5,3.5418,0.0875,88.95,1733,LOW,SECOND-LIFE STORAGE
BX0002,NMC,951,3.711,2.861,34.28,64.26,0.5,2.5,3.5263,0.08994,88.84,1706,LOW,SECOND-LIFE STORAGE
BX0002,NMC,975,3.743,2.669,29.95,40.07,0.5,1.0,3.5405,0.08651,88.43,1696,LOW,SECOND-LIFE STORAGE
BX0002,NMC,998,3.809,3.095,29.14,34.52,1.0,2.5,3.5185,0.08951,87.83,1576,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1022,3.745,2.243,29.21,47.45,1.5,2.5,3.554,0.08692,88.36,1618,LOW,SECOND-LIFE STORAGE
BX0002,NMC,1046,3.721,1.457,26.86,16.31,1.0,1.0,3.513,0.09838,87.25,1636,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1070,3.696,1.644,25.1,64.45,1.5,2.0,3.4962,0.09591,87.33,1527,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1093,3.809,1.241,27.94,68.13,2.0,2.5,3.499,0.09195,87.54,1578,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1117,3.661,3.486,29.13,45.12,1.0,2.0,3.4413,0.09727,86.09,1501,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1141,3.734,2.948,26.96,50.08,1.0,2.5,3.4885,0.09405,87.0,1513,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1165,3.732,2.842,30.15,36.33,2.0,2.0,3.441,0.09691,85.79,1510,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1188,3.737,2.117,28.18,92.77,1.5,1.0,3.4042,0.09804,85.37,1396,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1212,3.774,3.039,31.63,97.35,1.5,1.0,3.4595,0.09867,85.74,1425,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1236,3.729,1.649,30.33,21.72,1.0,2.0,3.4196,0.09806,85.39,1373,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1260,3.707,2.28,34.7,41.04,1.5,0.5,3.4135,0.0982,85.3,1413,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1283,3.746,1.121,25.24,57.01,1.5,2.0,3.4092,0.10098,84.93,1323,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1307,3.736,2.416,30.5,66.43,1.0,1.5,3.3576,0.10097,83.98,1385,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1331,3.69,0.631,23.18,29.17,1.5,2.0,3.3925,0.10123,84.4,1339,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1355,3.751,0.939,25.73,33.33,1.0,2.5,3.396,0.10061,84.5,1300,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1378,3.76,2.965,27.3,49.37,1.0,1.0,3.3506,0.10428,83.47,1289,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1402,3.693,0.988,30.54,71.52,1.0,1.0,3.3123,0.10756,83.12,1274,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1426,3.72,1.948,27.07,68.63,1.0,2.0,3.3016,0.10534,82.39,1198,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1450,3.759,3.065,31.25,65.97,0.5,0.5,3.3045,0.11136,82.45,1186,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1473,3.783,1.184,26.99,92.22,1.5,1.0,3.2897,0.10809,82.46,1185,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1497,3.709,3.136,29.67,52.4,2.0,0.5,3.238,0.1121,81.6,1141,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1521,3.676,1.977,29.01,17.95,2.0,1.5,3.2978,0.10944,82.08,1040,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1545,3.727,0.613,22.4,83.93,2.0,2.0,3.2598,0.11569,81.14,1090,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1568,3.738,3.375,28.62,20.75,1.0,2.5,3.2507,0.11026,81.19,1070,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1592,3.722,2.014,26.72,91.38,1.0,0.5,3.2181,0.11359,80.77,1061,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1616,3.753,1.146,25.55,93.28,1.0,0.5,3.1774,0.12108,80.03,1015,MEDIUM,SECOND-LIFE STORAGE
BX0002,NMC,1640,3.783,3.249,31.12,85.26,0.5,2.0,3.1942,0.11804,79.58,972,HIGH,SECOND-LIFE STORAGE
BX0002,NMC,1664,3.745,2.657,31.8,59.78,2.0,1.5,3.1878,0.11454,79.8,952,HIGH,SECOND-LIFE STORAGE
BX0002,NMC,1687,3.748,2.75,27.87,49.31,1.0,1.5,3.189,0.11627,79.56,1003,HIGH,SECOND-LIFE STORAGE
BX0002,NMC,1711,3.754,2.916,29.61,61.32,2.0,1.5,3.1906,0.11393,79.7,941,HIGH,SECOND-LIFE STORAGE
BX0002,NMC,1735,3.728,2.31,26.33,75.84,0.5,0.5,3.1756,0.11813,79.52,866,HIGH,SECOND-LIFE STORAGE
BX0002,NMC,1759,3.729,1.541,29.99,94.52,1.5,1.5,3.1425,0.1184,78.56,866,HIGH,SECOND-LIFE STORAGE
BX0002,NMC,1782,3.67,1.679,30.74,47.5,0.5,2.5,3.1589,0.11932,79.09,902,HIGH,SECOND-LIFE STORAGE
BX0002,NMC,1806,3.765,2.198,28.74,20.38,1.0,1.0,3.113,0.12736,78.08,900,HIGH,SECOND-LIFE STORAGE
BX0002,NMC,1830,3.745,2.712,30.83,72.72,0.5,2.0,3.1546,0.11838,78.4,856,HIGH,SECOND-LIFE STORAGE
BX0002,NMC,1854,3.726,2.884,27.37,20.19,1.0,2.5,3.0936,0.12193,77.51,817,HIGH,SECOND-LIFE STORAGE
BX0002,NMC,1877,3.77,3.472,30.95,71.93,1.0,2.5,3.0769,0.12101,77.25,794,HIGH,SECOND-LIFE STORAGE
BX0002,NMC,1901,3.697,3.316,26.97,39.79,1.5,2.5,3.0465,0.12694,76.5,683,HIGH,SECOND-LIFE STORAGE
BX0002,NMC,1925,3.733,0.814,30.94,55.09,1.0,1.5,3.0539,0.12693,76.23,702,HIGH,SECOND-LIFE STORAGE
BX0002,NMC,1949,3.762,0.82,28.87,65.65,2.0,2.5,3.0671,0.12413,76.82,734,HIGH,SECOND-LIFE STORAGE
BX0002,NMC,1972,3.698,1.243,27.98,35.71,0.5,2.0,3.0019,0.13105,75.31,723,HIGH,SECOND-LIFE STORAGE
BX0002,NMC,1996,3.767,1.472,27.65,61.65,1.0,1.0,3.0182,0.12991,75.5,619,HIGH,SECOND-LIFE STORAGE
BX0002,NMC,2020,3.759,2.336,28.95,80.38,0.5,1.5,3.0305,0.13324,75.26,620,HIGH,SECOND-LIFE STORAGE
BX0002,NMC,2044,3.733,3.399,28.77,93.6,0.5,0.5,2.983,0.12978,74.39,653,HIGH,RECYCLING / INSPECTION
BX0002,NMC,2067,3.666,2.594,31.72,20.62,1.0,1.0,2.9605,0.13522,73.99,576,HIGH,RECYCLING / INSPECTION
BX0002,NMC,2091,3.693,2.418,34.44,49.18,2.0,2.0,2.9413,0.13437,73.55,552,HIGH,RECYCLING / INSPECTION
BX0002,NMC,2115,3.769,3.104,34.03,43.2,2.0,2.5,2.9525,0.13465,73.82,535,HIGH,RECYCLING / INSPECTION
BX0002,NMC,2139,3.717,2.113,30.53,61.31,2.0,0.5,2.9261,0.14107,73.01,477,HIGH,RECYCLING / INSPECTION
BX0002,NMC,2162,3.669,0.69,23.25,47.98,2.0,1.0,2.9425,0.13303,73.7,469,HIGH,RECYCLING / INSPECTION
BX0002,NMC,2186,3.613,2.392,32.11,40.92,1.0,2.0,2.8985,0.13609,72.68,491,HIGH,RECYCLING / INSPECTION
BX0002,NMC,2210,3.685,1.972,28.96,29.01,2.0,2.5,2.8918,0.14024,72.63,433,HIGH,RECYCLING / INSPECTION
BX0002,NMC,2234,3.765,3.056,29.49,95.32,1.5,0.5,2.9058,0.14125,72.47,387,HIGH,RECYCLING / INSPECTION
BX0002,NMC,2257,3.658,3.134,34.16,28.77,1.5,2.5,2.8762,0.14329,71.92,374,HIGH,RECYCLING / INSPECTION
BX0002,NMC,2281,3.706,2.668,31.16,21.59,2.0,1.0,2.9108,0.14164,71.99,349,HIGH,RECYCLING / INSPECTION
BX0002,NMC,2305,3.707,2.94,33.21,36.11,2.0,2.5,2.8448,0.13912,71.25,372,HIGH,RECYCLING / INSPECTION
BX0002,NMC,2329,3.767,2.303,31.05,30.87,0.5,2.5,2.8401,0.1453,70.51,254,HIGH,RECYCLING / INSPECTION
BX0002,NMC,2352,3.675,0.412,28.5,41.14,2.0,2.0,2.8304,0.14304,70.64,306,HIGH,RECYCLING / INSPECTION
BX0002,NMC,2376,3.692,0.612,29.09,44.91,2.0,2.0,2.7932,0.14535,70.01,315,HIGH,RECYCLING / INSPECTION
